,English Company Name,Chinese Company Name,Valid Licence since,District,Address,Telephone No,FAX,Email,Placement Type
0,,期柏有限公司,2021,Kwai Tsing District,"Room 1301A, 13th floor, Tower B, Viking Technology & Business Centre, 93 Ta Chuen Ping Street, Kwai Chung, New Territories",68818663 / 96689927, ,reginelo@keipak.com,Other Non-office Worker
1,,思賢人力資源有限公司,2017,Central and Western District,"Unit D, 11th floor, On Hing Building, 1 On Hing Terrace, Central, Hong Kong",28138080,28138392,dorothyfok@achievers.com.hk,Office Staff / Executive Search
2,,日蜂僱傭中心,2021,Eastern District,"Shop G0150, Smiling Shaukeiwan Plaza, 360A Shau Kei Wan Road, Shau Kei Wan, Hong Kong",60640288, ,emailme@beemye.com,Foreign Domestic Helpers
3,,德勤顧問管理有限公司,2021,Yau Tsim Mong District,"Room 907, 9th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",37537531, ,hr@adminihrs.com,Office Staff / Executive Search
4,,一悅護理服務有限公司,2020,Yuen Long District,"7th floor, Glassview Commercial Building, 65-67 Castle Peak Road, Yuen Long, New Territories",55023675,21208286,info.joyfulcare@gmail.com,"Local Domestic Helpers, Office Staff / Executive Search"
5,,多多都有服務有限公司,2021,Yau Tsim Mong District,"Shop 1B1, Ground floor, 178 Lai Chi Kok Road, Prince Edward, Kowloon",55454044, ,jacky55454044@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search"
6,,卓能國際服務有限公司,2014, ,"Unit C, 20th floor, 8 Hart Avenue, Tsim Sha Tsui, Kowloon", , , ,Office Staff / Executive Search
7,,傲馬司機招聘及租車服務有限公司,2014,Yau Tsim Mong District,"Room 1701, 17th floor, Wai Fung Plaza, 664 Nathan Road, Mong Kok, Kowloon",34683499,30074345,cv@optimum-driver.com,Other Non-office Worker
8,,散工易,2015, ,"Flat 1202H, 12th floor, Block B, Hong Kong Industrial Centre, 489-491 Castle Peak Road, Lai Chi Kok, Kowloon", , , ,Other Non-office Worker
9,,譽諾(香港)有限公司,2021,Kwai Tsing District,"Room 606, 6th floor, Block 2, Golden Industrial Building, 16-26 Kwai Tak Street, Kwai Chung, New Territories",98434530, ,admin@goodwill-hk.com,Other Non-office Worker
10,,搵好工-陽光社會企業,2018, ,"2nd floor, Tung Chung Community Services Complex, 420 Tung Chung Road, Lantau Island, New Territories",29881489,39147823,sse@sse.com.hk,Other Non-office Worker
11,,富業顧問有限公司,2019,Kwun Tong District,"Flat C, 11th floor, High Win Factory Building, 47 Hoi Yuen Road, Kwun Tong, Kowloon",96279779, ,info@winfieldconsultants.com,Office Staff / Executive Search
12,,國際陪月協會有限公司,2016,Kwun Tong District,"Room 703-4, 7th floor, Hong Leong Industrial Complex, 4 Wang Kwong Road, Kowloon Bay, Kowloon",36986523, ,info@uibc.com.hk,Local Domestic Helpers
13,,祖祖媽月子服務有限公司,2016,Kwai Tsing District,"Flat A2, 1st floor, Tai Tak Industrial Building, 2-12 Kwai Fat Road, Kwai Chung, New Territories",64737723/ 39043177,39043277,"jjma141223@gmail.com, mamaservices@jjma.com.hk","Local Domestic Helpers, Other Non-office Worker"
14,,護全照顧服務有限公司,2017,Sha Tin District,"Shop 5, Shopping Mall, Pok Hong Estate, Sha Tin, New Territories",59419556, ,hk.allroundhk@gmail.com,"Local Domestic Helpers, Office Staff / Executive Search, Imported Worker"
15,,華旭物流有限公司,2016,Kwai Tsing District,"Flat 8, 10th floor, Block A, Po Yip Building, 62-70 Texaco Road, Tsuen Wan, New Territories",27966962,27966698,ken.wong@sunlightls.com.hk,"Office Staff / Executive Search, Other Non-office Worker"
16,1maid2 Limited,搵妹易有限公司,2018,Yau Tsim Mong District,"Room 1701, 17th floor, Wai Fung Plaza, 664 Nathan Road, Mong Kok, Kowloon",35027500, ,admin@1maid2.com,"Local Domestic Helpers, Foreign Domestic Helpers"
17,1maid2 Limited,搵妹易有限公司,2019,Sham Shui Po District,"2nd floor, West Wing, 822 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",35027500, ,admin@1maid2.com,"Local Domestic Helpers, Foreign Domestic Helpers"
18,20 Two North Limited,,2020,Central and Western District,"21st floor, CMA Building, 64 Connaught Road Central, Central, Hong Kong", , ,andrewblake@20twonorth.com,Office Staff / Executive Search
19,28Helper Agency Limited,搵僱傭中心有限公司,2019,Yau Tsim Mong District,"Shop 5, Ground floor, Wah Chi Mansion, 286-298 Temple Street, Yau Ma Tei, Kowloon",60503091, ,tan1623@hotmail.com,Foreign Domestic Helpers
20,33JOBS.COM,香港工作網,2018,Yau Tsim Mong District,"3rd floor, Multifield Centre, 426 Shanghai Street, Mong Kok, Kowloon",21161600,36210600,adminhk@50bm.com,"Office Staff / Executive Search, Other Non-office Worker"
21,365 PART TIME,365兼職,2017,Yau Tsim Mong District,"Unit 08, 13th floor, Multifield Plaza, 3 Prat Avenue, Tsim Sha Tsui, Kowloon",34650213, ,cs@365parttime.com.hk,Other Non-office Worker
22,3R Consulting Limited,,2019,Central and Western District,"Room 2106, 21st floor, Beautiful Group Tower, 77 Connaught Road Central, Central, Hong Kong",37071366,39564344,renee.cheng@3r-consulting.com.hk,Office Staff / Executive Search
23,3T Consulting Company,,2015,Central and Western District,"66th floor, The Center, 99 Queen's Road Central, Central, Hong Kong",96064084, ,stvccc2011@gmail.com,Office Staff / Executive Search
24,45 HOCHE LIMITED,,2021,Kwun Tong District,"26th floor, Two Harbour Square, 180 Wai Yip Street, Kwun Tong, Kowloon", , ,ylegoff852@gmail.com,Office Staff / Executive Search
